SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Quarter,AverageQuarterReturn,Year,AverageYearlyReturn,,,
1,Cosmos,ATOM,15/3/2019,7.715248872,6.432468205,6.633173881,7.504351299,6057301.366,0,2019 Q1,4.337798199,2019,3.979258184,,,
2,Cosmos,ATOM,16/3/2019,8.305615286,6.694530522,7.507990002,7.383882081,3477392.636,0,2019 Q2,5.002042859,2020,4.126263374,,,
3,Cosmos,ATOM,17/3/2019,7.357443027,4.727895228,7.357443027,4.776164148,2653565.214,0,2019 Q3,3.338166636,2021,16.29351755,,,
4,Cosmos,ATOM,18/3/2019,5.229981511,4.828242369,4.828242369,5.110341096,2567200.533,0,2019 Q4,3.542430322,,,,,
5,Cosmos,ATOM,19/3/2019,5.206171652,4.794500947,5.099977592,4.821883116,3891084.293,0,2020 Q1,3.768772016,,,,,
6,Cosmos,ATOM,20/3/2019,4.835414727,3.871130331,4.817675073,4.381394601,3934420.911,0,2020 Q2,2.615469123,,,,,
7,Cosmos,ATOM,21/3/2019,4.421520143,3.585871056,4.421520143,3.632948205,3901346.456,0,2020 Q3,4.903568278,,,,,
8,Cosmos,ATOM,22/3/2019,3.633277556,3.285578806,3.631107702,3.498546449,4680808.383,0,2020 Q4,5.196936626,,,,,
9,Cosmos,ATOM,23/3/2019,3.533851594,3.337097416,3.506196386,3.445516363,4409796.932,0,2021 Q1,14.72531148,,,,,
10,Cosmos,ATOM,24/3/2019,3.881491263,3.428649564,3.445452012,3.765243305,3928802.856,0,2021 Q2,18.10928695,,,,,
11,Cosmos,ATOM,25/3/2019,3.956022698,3.664218884,3.749194119,3.778340815,4661791.173,0,2021 Q3,12.27743927,,,,,
12,Cosmos,ATOM,26/3/2019,3.828025349,3.482586008,3.761046214,3.743902813,6463760.139,0,,,,,,,
13,Cosmos,ATOM,27/3/2019,3.828119924,3.596314829,3.746466919,3.776921172,7031766.594,0,,,,,,,
14,Cosmos,ATOM,28/3/2019,3.787516192,3.482593122,3.773730018,3.492386035,6030319.855,0,,,,,,,
15,Cosmos,ATOM,29/3/2019,3.552861661,3.40845268,3.489571143,3.539836509,4012185.12,0,,,,,,,
16,Cosmos,ATOM,30/3/2019,3.562510937,3.3794996,3.540853954,3.466585463,3370884.258,0,,,,,,,
17,Cosmos,ATOM,31/3/2019,3.628399317,3.440875917,3.466585463,3.624325914,3945618.419,0,,,,,,,
18,Cosmos,ATOM,1/4/2019,3.86930739,3.595103138,3.61007666,3.725182923,4158589.481,0,,,,,,,
19,Cosmos,ATOM,2/4/2019,3.834566599,3.610953019,3.761943096,3.787196624,5365042.91,0,,,,,,,
20,Cosmos,ATOM,3/4/2019,3.925277351,3.663749348,3.787196624,3.766951885,5083727.057,0,,,,,,,
21,Cosmos,ATOM,4/4/2019,3.831843496,3.703185322,3.762897614,3.747295395,5321012.481,0,,,,,,,
22,Cosmos,ATOM,5/4/2019,3.83987875,3.673582354,3.744651804,3.808442826,5415803.078,0,,,,,,,
23,Cosmos,ATOM,6/4/2019,4.462975895,3.770066649,3.809261912,4.447355336,4623456.354,0,,,,,,,
24,Cosmos,ATOM,7/4/2019,4.886762118,4.341927434,4.473975622,4.616360778,4191618.527,0,,,,,,,
25,Cosmos,ATOM,8/4/2019,5.847438641,4.615644124,4.634587901,5.450051946,4041529.767,0,,,,,,,
26,Cosmos,ATOM,9/4/2019,5.471555718,3.803919178,5.450051946,3.844098356,5205817,0,,,,,,,
27,Cosmos,ATOM,10/4/2019,4.183902404,3.670327298,3.802624284,3.749782544,4666417.084,0,,,,,,,
28,Cosmos,ATOM,11/4/2019,3.864195123,3.483564212,3.770163264,3.509812507,5287619.357,0,,,,,,,
29,Cosmos,ATOM,12/4/2019,4.334712317,3.482812493,3.517529638,4.306536445,4766004.354,0,,,,,,,
30,Cosmos,ATOM,13/4/2019,4.468787264,4.168932906,4.304441478,4.30303665,4074111.874,0,,,,,,,
31,Cosmos,ATOM,14/4/2019,4.488017663,4.124598973,4.30303665,4.462687047,4087544.866,0,,,,,,,
32,Cosmos,ATOM,15/4/2019,4.488488476,4.285023013,4.462687047,4.349614526,4043797.754,0,,,,,,,
33,Cosmos,ATOM,16/4/2019,4.475858278,4.273778916,4.343881304,4.418631072,6687900.34,0,,,,,,,
34,Cosmos,ATOM,17/4/2019,4.443652939,4.286220136,4.360103157,4.345787724,5040510.376,0,,,,,,,
35,Cosmos,ATOM,18/4/2019,4.424222562,4.271443822,4.34493852,4.362478096,3962743.124,0,,,,,,,
36,Cosmos,ATOM,19/4/2019,4.898667976,4.296156052,4.364133982,4.876116791,5806996.876,0,,,,,,,
37,Cosmos,ATOM,20/4/2019,5.439562086,4.857436593,4.868496087,5.435583036,4130470.934,0,,,,,,,
38,Cosmos,ATOM,21/4/2019,5.476657272,4.651667866,5.40198877,5.215819176,4423092.451,0,,,,,,,
39,Cosmos,ATOM,22/4/2019,6.94810038,4.242541684,5.170827157,4.383468677,14693545.43,0,,,,,,,
40,Cosmos,ATOM,23/4/2019,5.313592564,4.114495405,4.383468677,4.122130883,69288592.62,0,,,,,,,
41,Cosmos,ATOM,24/4/2019,4.14608214,3.096780063,4.122130883,3.636692739,51989409.86,0,,,,,,,
42,Cosmos,ATOM,25/4/2019,3.778509634,3.227088639,3.686125119,3.304497828,38575975.2,0,,,,,,,
43,Cosmos,ATOM,26/4/2019,3.773335669,3.193769037,3.304625741,3.633435242,36448157.57,0,,,,,,,
44,Cosmos,ATOM,27/4/2019,3.670702069,3.394357601,3.640850533,3.434101889,24145209.77,0,,,,,,,
45,Cosmos,ATOM,28/4/2019,5.144618771,3.397948591,3.437664701,4.430444933,88477197.26,0,,,,,,,
46,Cosmos,ATOM,29/4/2019,4.670700569,3.697371597,4.45583699,3.747836851,86344115.31,0,,,,,,,
47,Cosmos,ATOM,30/4/2019,4.043845965,3.747669361,3.747669361,3.937069602,53924932.89,750753657.4,,,,,,,
48,Cosmos,ATOM,1/5/2019,4.604541881,3.918005463,3.935183956,4.390123783,90528587.53,837145852,,,,,,,
49,Cosmos,ATOM,2/5/2019,4.622559244,4.229016964,4.389837991,4.594657512,83803870.64,876148069.7,,,,,,,
50,Cosmos,ATOM,3/5/2019,5.343217913,4.567493883,4.594913997,5.310845243,161847460.6,1012716790,,,,,,,
51,Cosmos,ATOM,4/5/2019,5.583137496,4.793865492,5.312575584,5.259991924,164883490.2,1003019650,,,,,,,
52,Cosmos,ATOM,5/5/2019,5.262257206,4.789270985,5.262257206,4.85370542,68292314.74,925545511,,,,,,,
53,Cosmos,ATOM,6/5/2019,4.864409032,4.520401498,4.851186772,4.725382449,63030289.75,901075803.8,,,,,,,
54,Cosmos,ATOM,7/5/2019,5.03480826,4.613525815,4.726505683,4.613525815,58235752.11,879746036.9,,,,,,,
55,Cosmos,ATOM,8/5/2019,4.599731208,4.269427709,4.599731208,4.35483871,60816519.61,830417396.6,,,,,,,
56,Cosmos,ATOM,9/5/2019,4.473283929,3.533513787,4.368480981,3.896407461,76347150.85,742999857.3,,,,,,,
57,Cosmos,ATOM,10/5/2019,4.111482321,3.691583631,3.895256118,3.832914227,53606616.81,730892431.5,,,,,,,
58,Cosmos,ATOM,11/5/2019,4.173972887,3.732555485,3.834794284,4.0177799,72859936.58,766144178.1,,,,,,,
59,Cosmos,ATOM,12/5/2019,4.061388247,3.710906854,4.000134528,3.772999246,45901518.22,719467337.3,,,,,,,
60,Cosmos,ATOM,13/5/2019,4.153659951,3.759233176,3.772999246,3.936922953,63138771.6,750725693.2,,,,,,,
61,Cosmos,ATOM,14/5/2019,4.097126426,3.825239123,3.948254755,3.998229353,68024772.11,762416114.9,,,,,,,
62,Cosmos,ATOM,15/5/2019,4.619979472,3.989368832,3.997044578,4.529068328,81407357.46,863640970.5,,,,,,,
63,Cosmos,ATOM,16/5/2019,4.771327141,4.037931148,4.525318223,4.278079395,76583312.86,815780282.6,,,,,,,
64,Cosmos,ATOM,17/5/2019,4.789171022,3.94794529,4.274661469,4.396433725,117708947.5,838349085.1,,,,,,,
65,Cosmos,ATOM,18/5/2019,4.965437987,4.346906064,4.396433725,4.713703759,72187065.61,898848812.7,,,,,,,
66,Cosmos,ATOM,19/5/2019,5.172007746,4.648653568,4.70618694,4.89426633,82033955.56,933280007.5,,,,,,,
67,Cosmos,ATOM,20/5/2019,4.91095359,4.542560157,4.89426633,4.724706686,69473607.07,900946943.6,,,,,,,
68,Cosmos,ATOM,21/5/2019,4.805142382,4.550700339,4.714468152,4.7755585,57280910.92,910643796.7,,,,,,,
69,Cosmos,ATOM,22/5/2019,4.80074223,4.357852737,4.7755585,4.359100114,53427876.73,831229997.1,,,,,,,
70,Cosmos,ATOM,23/5/2019,4.372058395,4.13252999,4.352471331,4.335001234,50139060.34,826634619.2,,,,,,,
71,Cosmos,ATOM,24/5/2019,4.767505926,4.282444874,4.338859153,4.472952727,82477988.97,852940374.1,,,,,,,
72,Cosmos,ATOM,25/5/2019,4.605970538,4.345797471,4.472952727,4.424700555,43392192.37,843739242.8,,,,,,,
73,Cosmos,ATOM,26/5/2019,4.545763441,4.285958893,4.415332487,4.508584246,49349631.95,859734892.9,,,,,,,
74,Cosmos,ATOM,27/5/2019,4.709647499,4.516543582,4.516543582,4.669845114,75962592.52,890485476.1,,,,,,,
75,Cosmos,ATOM,28/5/2019,4.816157434,4.508034296,4.670135571,4.76204018,56441565.31,908066009.2,,,,,,,
76,Cosmos,ATOM,29/5/2019,4.812483233,4.514012599,4.76204018,4.689263101,52450619.85,894188261.7,,,,,,,
77,Cosmos,ATOM,30/5/2019,6.536581869,4.685122147,4.689263101,5.939966552,272876291.2,1132682951,,,,,,,
78,Cosmos,ATOM,31/5/2019,5.948746186,5.277598086,5.939966552,5.813032956,136736662.1,1108478181,,,,,,,
79,Cosmos,ATOM,1/6/2019,6.300856569,5.692282552,5.813684528,5.780049482,125167746.7,1102188614,,,,,,,
80,Cosmos,ATOM,2/6/2019,6.360078256,5.604044633,5.780049482,6.357302104,84717217.8,1212264016,,,,,,,
81,Cosmos,ATOM,3/6/2019,7.252391357,6.075657121,6.357302104,6.612277065,212229620,1260884793,,,,,,,
82,Cosmos,ATOM,4/6/2019,6.8423552,5.814772772,6.606973958,5.919370653,129719690.7,1128755551,,,,,,,
83,Cosmos,ATOM,5/6/2019,6.294137763,5.691377779,5.938306701,6.184024977,93898670.08,1179222071,,,,,,,
84,Cosmos,ATOM,6/6/2019,6.182962136,5.67955992,6.179598373,6.058681273,78003589.63,1155320476,,,,,,,
85,Cosmos,ATOM,7/6/2019,6.582480543,5.939314401,6.055584579,6.33933821,101407236.8,1208838509,,,,,,,
86,Cosmos,ATOM,8/6/2019,6.3484639,5.981265202,6.339460274,6.138371302,50257189.62,1170516443,,,,,,,
87,Cosmos,ATOM,9/6/2019,6.194450981,5.707989062,6.136792747,5.872390858,49629336.64,1119797047,,,,,,,
88,Cosmos,ATOM,10/6/2019,6.11066915,5.766838238,5.856109336,6.108678197,61495899.46,1164854311,,,,,,,
89,Cosmos,ATOM,11/6/2019,6.172414727,5.807267421,6.111079862,5.983658183,53676890.69,1141014440,,,,,,,
90,Cosmos,ATOM,12/6/2019,6.270923718,5.900940661,5.98371377,6.131582253,63690195.43,1169221850,,,,,,,
91,Cosmos,ATOM,13/6/2019,6.524449343,6.076065856,6.130769627,6.286848979,67900351.52,1198829419,,,,,,,
92,Cosmos,ATOM,14/6/2019,6.301536355,5.946177904,6.287564305,6.299399364,68909618.77,1201222633,,,,,,,
93,Cosmos,ATOM,15/6/2019,6.302372256,6.123649486,6.302372256,6.200674384,51688148.42,1182396920,,,,,,,
94,Cosmos,ATOM,16/6/2019,6.742356658,6.158507049,6.200674384,6.742356658,70784039.41,1285689468,,,,,,,
95,Cosmos,ATOM,17/6/2019,7.103717448,6.475533144,6.738471981,7.017254392,81971935.49,1338109288,,,,,,,
96,Cosmos,ATOM,18/6/2019,7.041426188,6.498126962,7.014987508,6.5859882,58369435.27,1255871810,,,,,,,
97,Cosmos,ATOM,19/6/2019,6.81404466,6.58120036,6.585860907,6.648993823,44465849.94,1267886254,,,,,,,
98,Cosmos,ATOM,20/6/2019,6.68516703,6.310765679,6.644633301,6.495860712,62912912.61,1238685540,,,,,,,
99,Cosmos,ATOM,21/6/2019,6.585897257,6.358042639,6.49754449,6.515581273,64958852.02,1242446023,,,,,,,
100,Cosmos,ATOM,22/6/2019,6.922904825,6.50597164,6.51920945,6.691568736,82497464.66,1276004798,,,,,,,
101,Cosmos,ATOM,23/6/2019,7.154595598,6.631295111,6.686858487,6.802725655,68464562.04,1297201138,,,,,,,
102,Cosmos,ATOM,24/6/2019,6.823620217,6.5422508,6.802725655,6.639571732,58307067.42,1266089571,,,,,,,
103,Cosmos,ATOM,25/6/2019,6.729861359,6.479760639,6.643968752,6.57953551,75054340.38,1254641357,,,,,,,
104,Cosmos,ATOM,26/6/2019,6.831309663,6.199268473,6.57953551,6.306944782,115261167.7,1202661457,,,,,,,
105,Cosmos,ATOM,27/6/2019,6.381230308,5.307816073,6.306944782,5.469207956,138471352.9,1042914729,,,,,,,
106,Cosmos,ATOM,28/6/2019,5.95889849,5.381581085,5.47204868,5.921550088,100518290.5,1129171144,,,,,,,
107,Cosmos,ATOM,29/6/2019,6.15729309,5.62191355,5.924732732,6.079551452,86786957.68,1159300177,,,,,,,
108,Cosmos,ATOM,30/6/2019,6.105715733,5.413434125,6.079892098,5.413434125,83453263.96,1032279304,,,,,,,
109,Cosmos,ATOM,1/7/2019,5.683149556,5.156232665,5.413434125,5.462667494,90786814.05,1041667538,,,,,,,
110,Cosmos,ATOM,2/7/2019,5.636811784,5.10636034,5.458837429,5.349032571,95698663.69,1019998672,,,,,,,
111,Cosmos,ATOM,3/7/2019,5.635580857,5.331543,5.345704753,5.605543271,87321335,1068912297,,,,,,,
112,Cosmos,ATOM,4/7/2019,5.790026201,5.490772008,5.606879717,5.492154111,67162234.02,1047290295,,,,,,,
113,Cosmos,ATOM,5/7/2019,5.503677555,5.354402311,5.491083075,5.358716122,65187396.88,1021845213,,,,,,,
114,Cosmos,ATOM,6/7/2019,5.496671411,5.269104243,5.360368219,5.290813776,57677233.11,1008897021,,,,,,,
115,Cosmos,ATOM,7/7/2019,5.434322067,5.206766891,5.291587484,5.406419794,53427682.85,1030941752,,,,,,,
116,Cosmos,ATOM,8/7/2019,5.429670371,5.138782409,5.408764041,5.191361097,59231942.7,989932544.9,,,,,,,
117,Cosmos,ATOM,9/7/2019,5.216037486,4.919868405,5.19145695,5.008280064,108308604.5,955021108.5,,,,,,,
118,Cosmos,ATOM,10/7/2019,5.014423597,4.229575456,4.994656749,4.486176147,137049791.5,855461927.5,,,,,,,
119,Cosmos,ATOM,11/7/2019,4.653531134,4.086902772,4.487552387,4.347078177,219122792.1,828937552.6,,,,,,,
120,Cosmos,ATOM,12/7/2019,4.600856647,4.227299374,4.351506353,4.540363469,55529844.54,865794823.4,,,,,,,
121,Cosmos,ATOM,13/7/2019,4.549964125,4.151797489,4.379996269,4.280135676,236384357.3,816172391.6,,,,,,,
122,Cosmos,ATOM,14/7/2019,4.286765129,3.818203587,4.282011871,3.820683215,237373610.3,728560118.9,,,,,,,
123,Cosmos,ATOM,15/7/2019,4.434765428,3.576704869,3.825202089,4.188706035,244025539.1,798737816.1,,,,,,,
124,Cosmos,ATOM,16/7/2019,4.249953629,3.554435639,4.18985162,3.65094378,169476662.8,696192770.9,,,,,,,
125,Cosmos,ATOM,17/7/2019,4.014490143,3.572632879,3.645372377,3.833144131,194212503.5,730936271.5,,,,,,,
126,Cosmos,ATOM,18/7/2019,4.176224573,3.704270656,3.850548675,4.119472517,195747961.3,785535784.6,,,,,,,
127,Cosmos,ATOM,19/7/2019,4.203369695,3.835163434,4.119472517,3.935251592,176444670.7,750406984,,,,,,,
128,Cosmos,ATOM,20/7/2019,4.216889779,3.940143829,3.942098333,4.071419872,178338930,776372700.8,,,,,,,
129,Cosmos,ATOM,21/7/2019,4.323079099,3.998459299,4.071419872,4.228220709,183003172.2,806272807.5,,,,,,,
130,Cosmos,ATOM,22/7/2019,4.340482624,3.904902116,4.220596676,3.999824813,128878764.1,762720350.7,,,,,,,
131,Cosmos,ATOM,23/7/2019,4.001848,3.713749229,4.001848,3.723969249,122638989.6,710117883.7,,,,,,,
132,Cosmos,ATOM,24/7/2019,4.062585095,3.624465506,3.732592233,3.910559381,139544674.2,745698464.7,,,,,,,
133,Cosmos,ATOM,25/7/2019,4.033094143,3.811537832,3.905248552,3.834995484,118915408.8,731289303.1,,,,,,,
134,Cosmos,ATOM,26/7/2019,3.925588034,3.714280786,3.825568543,3.904642013,116669870.5,744570091.1,,,,,,,
135,Cosmos,ATOM,27/7/2019,4.010406894,3.565451543,3.901704245,3.616744945,117266920.1,689671448.5,,,,,,,
136,Cosmos,ATOM,28/7/2019,3.670360669,3.501673686,3.616744945,3.617754077,110281448.8,689863878.3,,,,,,,
137,Cosmos,ATOM,29/7/2019,3.684066218,3.549428476,3.615105181,3.603481182,119873997.4,687142202.3,,,,,,,
138,Cosmos,ATOM,30/7/2019,3.660222613,3.515838199,3.603824808,3.596430185,114588229.2,685797658.6,,,,,,,
139,Cosmos,ATOM,31/7/2019,3.75239769,3.595006037,3.595006037,3.658560352,115217466.6,697645163.2,,,,,,,
140,Cosmos,ATOM,1/8/2019,3.679114795,3.47721078,3.656572878,3.557588127,68444005.44,678390927.3,,,,,,,
141,Cosmos,ATOM,2/8/2019,3.897438457,3.525484719,3.554552978,3.658143495,106897992.4,697565673.5,,,,,,,
142,Cosmos,ATOM,3/8/2019,3.793300548,3.636912034,3.655190377,3.705144389,94736604.13,706528200.6,,,,,,,
143,Cosmos,ATOM,4/8/2019,3.778415665,3.592784464,3.702656584,3.610542763,90515498.93,688488764.2,,,,,,,
144,Cosmos,ATOM,5/8/2019,3.873840877,3.608226826,3.608226826,3.791247008,132794918,722946974.5,,,,,,,
145,Cosmos,ATOM,6/8/2019,3.796455941,3.506479217,3.791844227,3.554883179,126484098.9,677875124.9,,,,,,,
146,Cosmos,ATOM,7/8/2019,3.6788318,3.468520403,3.549980311,3.495238735,127921986.8,666501618.9,,,,,,,
147,Cosmos,ATOM,8/8/2019,3.498906652,3.161693605,3.495238735,3.262284285,129180828.1,622079898.5,,,,,,,
148,Cosmos,ATOM,9/8/2019,3.306656513,3.086930866,3.26839048,3.13959045,121369452.3,598683602.6,,,,,,,
149,Cosmos,ATOM,10/8/2019,3.365177667,3.136925397,3.13959045,3.336407469,131283352.2,636214332.8,,,,,,,
150,Cosmos,ATOM,11/8/2019,3.528981116,3.292855903,3.338746092,3.524474386,119824702.1,672076519.7,,,,,,,
151,Cosmos,ATOM,12/8/2019,3.636110451,3.33217761,3.525694747,3.33217761,136927300.3,635407747.5,,,,,,,
152,Cosmos,ATOM,13/8/2019,3.341186564,3.150990977,3.33364399,3.249927896,130277229.2,619723678,,,,,,,
153,Cosmos,ATOM,14/8/2019,3.282709061,2.842962244,3.246896594,2.842962244,143341868.8,542120033,,,,,,,
154,Cosmos,ATOM,15/8/2019,2.988696998,2.720728111,2.844371255,2.950677881,118159630.9,562660159.8,,,,,,,
155,Cosmos,ATOM,16/8/2019,3.015369908,2.832096453,2.948313063,2.919067128,128767169.2,556632354.6,,,,,,,
156,Cosmos,ATOM,17/8/2019,2.947621868,2.83860255,2.947621868,2.900761946,100937146.4,553141768,,,,,,,
157,Cosmos,ATOM,18/8/2019,2.994678665,2.866457211,2.905883759,2.97660701,104947554.5,567604544.8,,,,,,,
158,Cosmos,ATOM,19/8/2019,2.985434727,2.814128776,2.985434727,2.910045635,120726904.3,554912060.2,,,,,,,
159,Cosmos,ATOM,20/8/2019,2.92754279,2.780820622,2.910045635,2.887889039,120939298.6,550687053.5,,,,,,,
160,Cosmos,ATOM,21/8/2019,2.884456378,2.601519675,2.866804842,2.651960475,130044350.2,505698203.8,,,,,,,
161,Cosmos,ATOM,22/8/2019,2.741715312,2.571696987,2.651960475,2.719685099,102851812.5,518612506.6,,,,,,,
162,Cosmos,ATOM,23/8/2019,2.75960967,2.593706964,2.719685099,2.704519043,129721582.2,515720515.2,,,,,,,
163,Cosmos,ATOM,24/8/2019,2.739423573,2.609002782,2.696192156,2.700414851,106694696.7,514937893.2,,,,,,,
164,Cosmos,ATOM,25/8/2019,2.741005294,2.612098867,2.700414851,2.618668813,104651641.6,499349868.8,,,,,,,
165,Cosmos,ATOM,26/8/2019,2.702257241,2.593973705,2.630014216,2.624645887,103446660.2,500489627.6,,,,,,,
166,Cosmos,ATOM,27/8/2019,2.638485816,2.503214864,2.619704439,2.561469344,123595892.9,488442591.2,,,,,,,
167,Cosmos,ATOM,28/8/2019,2.602421946,2.321817925,2.569105944,2.321817925,131788398.8,442743836.1,,,,,,,
168,Cosmos,ATOM,29/8/2019,2.329869505,2.160256112,2.329869505,2.174729877,144367075.4,414695845.9,,,,,,,
169,Cosmos,ATOM,30/8/2019,2.231462368,2.105454415,2.174729877,2.159445379,99188202.23,411781268.8,,,,,,,
170,Cosmos,ATOM,31/8/2019,2.174719016,2.005923316,2.161543859,2.037910226,107053452.8,388605920.2,,,,,,,
171,Cosmos,ATOM,1/9/2019,2.226421361,2.012013201,2.041727097,2.138348093,110298864,407758260.3,,,,,,,
172,Cosmos,ATOM,2/9/2019,2.172283085,2.06760796,2.137407392,2.120806614,117415985,404413303.1,,,,,,,
173,Cosmos,ATOM,3/9/2019,2.220268606,2.11584322,2.119879798,2.161518419,127964523.9,412176573.6,,,,,,,
174,Cosmos,ATOM,4/9/2019,2.163435011,2.032474243,2.159652699,2.047813462,107148222.3,390494352.8,,,,,,,
175,Cosmos,ATOM,5/9/2019,2.049751993,1.910991952,2.046339577,1.948078182,113255491,371475987.9,,,,,,,
176,Cosmos,ATOM,6/9/2019,2.252826647,1.944801011,1.948078182,2.043330199,133395732.5,389639446.4,,,,,,,
177,Cosmos,ATOM,7/9/2019,2.287472309,2.038232305,2.046778102,2.175767442,146368018.5,414893697.5,,,,,,,
178,Cosmos,ATOM,8/9/2019,2.745551391,2.159430436,2.175767442,2.734102502,196201838.9,521361738.7,,,,,,,
179,Cosmos,ATOM,9/9/2019,2.96387365,2.454247559,2.734102502,2.740284832,225072496.6,522540637.6,,,,,,,
180,Cosmos,ATOM,10/9/2019,2.934082735,2.538529143,2.738977446,2.594302033,189092870.9,494703405.4,,,,,,,
181,Cosmos,ATOM,11/9/2019,2.698344779,2.424535808,2.598294503,2.574536339,144069230.7,490934316.1,,,,,,,
182,Cosmos,ATOM,12/9/2019,3.202408205,2.510250661,2.581558246,3.080332047,192961556.7,587383710.3,,,,,,,
183,Cosmos,ATOM,13/9/2019,3.298107477,3.013165026,3.080332047,3.173574124,199583059.5,605163896.4,,,,,,,
184,Cosmos,ATOM,14/9/2019,3.235047668,2.999977434,3.173089632,3.105747572,173629172.4,592230157.1,,,,,,,
185,Cosmos,ATOM,15/9/2019,3.541264082,3.10202702,3.105196482,3.448310301,189272973.5,657552909.1,,,,,,,
186,Cosmos,ATOM,16/9/2019,3.563088114,3.179764943,3.444851961,3.319442679,180803359.7,632979343.5,,,,,,,
187,Cosmos,ATOM,17/9/2019,3.441620242,3.215771995,3.328590023,3.322425716,177431367.1,633548174.1,,,,,,,
188,Cosmos,ATOM,18/9/2019,3.396951921,3.264840535,3.314465435,3.310054704,163496341.5,631189165.1,,,,,,,
189,Cosmos,ATOM,19/9/2019,3.307332964,2.943599131,3.307332964,3.130262991,184157574.6,596904964.1,,,,,,,
190,Cosmos,ATOM,20/9/2019,3.256752688,3.078776694,3.138014652,3.184975591,148024573.4,607338024.3,,,,,,,
191,Cosmos,ATOM,21/9/2019,3.288110676,3.035768663,3.183295153,3.074527492,146995495.1,586276848.8,,,,,,,
192,Cosmos,ATOM,22/9/2019,3.083596181,2.814154415,3.074326966,2.910507396,140188583.9,555000112.5,,,,,,,
193,Cosmos,ATOM,23/9/2019,2.919305831,2.580060809,2.919305831,2.580060809,129682436.3,491987768.6,,,,,,,
194,Cosmos,ATOM,24/9/2019,2.661349372,2.093344763,2.582654587,2.241803213,188249040.5,427485955.6,,,,,,,
195,Cosmos,ATOM,25/9/2019,2.422745673,2.163023654,2.233317167,2.303594562,177658028.1,439268851.5,,,,,,,
196,Cosmos,ATOM,26/9/2019,2.352822046,2.087979474,2.300976647,2.221994011,140448612.8,423708570,,,,,,,
197,Cosmos,ATOM,27/9/2019,2.293057538,2.171212371,2.224325375,2.29135375,113206441.1,436934670.3,,,,,,,
198,Cosmos,ATOM,28/9/2019,2.310767421,2.211607448,2.290030354,2.282186874,96812584.39,435186652.9,,,,,,,
199,Cosmos,ATOM,29/9/2019,2.288228872,2.117684875,2.276653813,2.206497049,106690214.9,420753478.3,,,,,,,
200,Cosmos,ATOM,30/9/2019,2.651532247,2.187646431,2.206907178,2.630318637,136780366.8,501571355.4,,,,,,,
201,Cosmos,ATOM,1/10/2019,2.64680332,2.49425761,2.64680332,2.550405025,118931113.1,486332753.6,,,,,,,
202,Cosmos,ATOM,2/10/2019,2.617739085,2.441568556,2.550405025,2.603998254,116200105.8,496552362.7,,,,,,,
203,Cosmos,ATOM,3/10/2019,2.656810059,2.51711668,2.605711071,2.581556173,112791728.2,492272917.4,,,,,,,
204,Cosmos,ATOM,4/10/2019,2.616079754,2.498163508,2.579128067,2.586069904,93827666.75,493133633.6,,,,,,,
205,Cosmos,ATOM,5/10/2019,2.773751651,2.560004632,2.586069904,2.746641117,105799481.9,523752707.6,,,,,,,
206,Cosmos,ATOM,6/10/2019,2.772829723,2.608509408,2.749867553,2.666872999,99964726.75,508541849.8,,,,,,,
207,Cosmos,ATOM,7/10/2019,2.945997676,2.585021088,2.671591309,2.909279896,116735138.8,554766042.6,,,,,,,
208,Cosmos,ATOM,8/10/2019,3.061502318,2.842129637,2.909026308,2.914127153,143729012.8,555690358.5,,,,,,,
209,Cosmos,ATOM,9/10/2019,3.023419369,2.838633974,2.913662676,2.912069463,133198475.3,555297980.8,,,,,,,
210,Cosmos,ATOM,10/10/2019,2.997543078,2.735942277,2.910698364,2.904069967,170166340.2,553772569.4,,,,,,,
211,Cosmos,ATOM,11/10/2019,2.917605943,2.753717441,2.905600807,2.835449775,147536934.8,540687492.1,,,,,,,
